http://www.nytimes.com/2015/12/06/arts/music/u2-preaching-defiance-heads-back-to-paris.html
		u2 , preaching defiance , heads back to paris 
671840319185551360	AKannapell	what we’re reading : times journos find stories on michael dukakis's turkey soup , and more 

http://www.nytimes.com/2015/12/01/technology/in-a-global-market-for-hacking-talent-argentines-stand-out.html
671824793084272640	OlafurRobert	in a global market for hacking talent , argentines stand out 
672016362529796096	artsweb	rt yay got featured by for the 
671819529761202176	craiacristian	in a global market for talent , stand out !!! 
672013110832664576	cdgarciabauza	rt great coverage of nyt of argentinian hackers by 
671944543407771648	antonio	hey hackers/friends : the nytimes wrote about you , hackers of systems , thinkers of products 
671890715547316225	CeregumilMSBROS	rt in a global market for hacking talent , argentina stands out . heads to buenos aires to find out why . https :/ … 
671890065958658048	ScottReckard	in a culture that breeds cheaters , hackers will prosper : bienvenidos a argentina ! 
671875994844811264	raretakis	living in buenos aires , i learned how pickpocketing is an art . computer hacking seems to be a natural extension ... 
671870954151264256	ZehavitMandee	rt in a global market for hacking talent , arg … see more … 
671841263004418048	nicklally	the " cybergauchos " of argentina 
671829929143746561	palamago	linda nota : " thanks to the legacy of military rule and a culture of breaking rules of all sorts ... " ¿si ? 
671805273128833024	karenschmidt01	in a global market for talent , argentines stand out - 
671810166510194689	ArielNicoo	“ cheating the system is part of the argentine mentality ” 
671799709065986048	HotwireprUS	the security industry looks to argentina for digital talent via 
671794436855062528	jeffcariker	rt highlights of a great conference captured by was proud to participate at 

http://www.nytimes.com/2015/12/02/world/asia/beijing-smog-air-pollution-artist-brick.html
671944722777284608	namduy	amid smog wave , an artist molds a potent symbol of beijing’s pollution 
672020449509965826	domoredumpling	rt a chinese performance artist has made a solid brick of dust from the polluted atmosphere around beijing's landmarks … 
671998800261685248	brunostruys	" the artist known as brother nut vacuumed the dust in bejing for 100 days " 
672008204977508352	chinanewsforum	amid smog wave , an artist molds a potent symbol of beijing's pollution - new york times 
671970076170567680	ExhibitArtCraft	sharing amid smog wave , an artist molds a potent symbol of beijing's pollution - new york .. 
671955089196650496	sinolawyer2000	amid smog wave , an artist molds a potent symbol of beijing's pollution via thanks 
671943551609999360	ianinshanghai	rt “ brother nut " has something solid to show from the acrid soup in the beijing air : a brick of condensed pollution . https://… 

http://www.nytimes.com/2015/12/01/nyregion/salt-warnings-new-york-restaurants.html
671745514052960257	farquhar_wbf	high-salt warnings on new york menus to start tuesday 
671729104379502593	YO_SOY_DR	( high-salt warnings on new york menus to start tuesday ( 
671896834315386880	cuepidemiology	in high-salt warning labels on menu items started today . are you getting too much has details 
671890344703848449	davidsvecsey	wouldn't it save time and money to list the items that aren't high in salt ? salt warnings on ny menus 
671823298146213890	SSivalingamMD	helping our patients do better ... 
671822996240277504	drtazmd	what do you think about the new nyc salt warnings on menus ? 
671821774733078529	jacobsgoldin	does high salt intake harm people with healthy blood pressure ? never seen any evidence that it does . 
671806870802173953	WorldHealthNews	diners at chain restaurants will see warnings on menus next to items that are high in sodium , under a rule believed … 
671802631820414976	PHealthLawCtr	high warnings on ny menus to start tuesday 
671796299029590016	zeneconomicss	high- warnings on new york menus to start tuesday 
671767550926020608	Renalogic	what do you think about high-salt warnings on ny menus ? 
671749678069882880	ahabicher	fuck you , gouvernments . 
671729497360625664	SamWhitman___	new york implements high-salt warnings symbols on new york menus 

http://takingnote.blogs.nytimes.com/2015/11/30/after-attack-republicans-keep-hammering-planned-parenthood/
671429906862051328	conservasense	after attack , republicans keep hammering planned parenthood 
671795645066452993	fdtate	after attack , republicans keep lying about planned parenthood 
671679709806227456	SandaBlue	i nominate as the ugliest , most delusional , self aggrandizing , opportunistic pos of 2015 . 
671578192197623808	Igorgoldkind	the american taliban continues to rally its violent supporters . 

http://www.nytimes.com/2015/12/02/technology/mark-zuckerberg-facebook-charity.html
672025418090713088	GeraldJWilmink	mark zuckerberg vows to donate 99% of his facebook shares for charity 
672031777477672960	Alfonso_Salazar	great initiative ! hope jumps in again to surprise us and inspire 
672021426480787456	benrbreen	mark zuckerberg and wife pledge 99% of their facebook shares to charity 
672030769515126788	RedCO2Footprint	rt what beautiful timing on mark zuckerberg and wife pledge 99% of their facebook shares to charity https://… 
672029919841419265	VikkiJones8	ultimate planned giving ! with the birth of max , the zuckerberg's plan for the future . congrats ! 
672028751279104000	mayahaab	rt wow ! mark zuckerberg and wife pledge 99% of their facebook shares to charity ( no wonder their new … 
672026604395188225	JeffFromNH	mark zuckerberg pledges facebook shares to make the world a better place . for his new daughter . 
672025432968044544	sarah_melecki	amazing . gotta make sure i'm doing my little part , too : zuckerberg to donate 99% of his facebook shares for charity 
672024434996322304	RKHarrisPhD	great announcement . thanks mark zuckerberg and dr. priscilla chan ... 
672023646035165184	BakamoSocial	mark zuckerberg vows to donate 99% of his shares for charity 
672001358803824640	PeterSforza	zuckerberg vows to daughter he’ll donate 99% of his facebook shares 
672022528718536704	LiveYourBBL	inspired by mark zuckerberg's pledge to charity . we can make anything happen we put our mind to & make a difference . 
672021816609763328	ElleGuy1	i have a lot of respect for the zucberkers and their intention to give away 99% of facebook shares . i hope this ... 
672021252895150080	MndfulLeadrship	interesting trend of young wealthy sharing their wealth around . gives hope for new paradigms of sharing on the ... 
672019922516619266	rachelbrean	this is awesome ! vows to daughter he’ll donate 99% of his shares 
672019239994302464	eliskaxkomar	rt mark zuckerberg pledges that he and his wife will give 99% of their facebook shares " during our lives " to charity … 
672017536335015936	KMBZradio	today on zuckerberg has vowed that he and his wife would give 99% of their facebook shares 
672016702243254272	fahmidaj	rt top story : mark zuckerberg and wife pledge 99% of their facebook shares to char … see more https … 
672016412320407552	WPSTech	zuckerberg vows to daughter he’ll donate 99% of his facebook wealth , pledges toward personalized learning/education 
672015445159886848	JeffSteinberg6	mark zuckerberg and dr. priscilla chan absolutely crushed " giving tuesday . " it just makes you smile . " mark zucker … 
672015109737222144	Tech_Sharer	rt zuckerberg donates $45b to charity , and many outlets bury the news . come on ! 
672014615786557440	rjcicc	“ none of this would have happened without bill gates , ” dr. brilliant said . 
672014526913617920	weareanti1	anti : what's hot in digital mark zuckerberg and wife pledge 99% of their face … see more 
672012916015693824	CarmaxFraud	when a judge rules an $8 billion settlement against in my favor yes , a great will be 
672010073498132480	KristalMery	rt mark zuckerberg pledges 99% of fb shares to charities- and ' personalized learning ' is on the list ! https :/ … 
672009557325950976	CFPM01	rt mark zuckerberg and wife pledge 99% of their facebook shares ($45-billion ) to charity via 
672008624445591552	moddivorce	vows to daughter he’ll donate 99% of facebook shares worth $45 billion in lifetime 
672004034128166912	RihardsGailums	zuckerberg donate 99% of his facebook shares to charitable purposes . where is place to apply ? 
672002428867321856	sophie_medd	new form of includes committment to influencing public policy donate 99% of shares 
672001266017542144	carriebarronmd	on and and zuckerberg vows 
671998647932993536	B_Creeper	zuckerberg vows to daughter he'll donate 99% of his facebook shares - new york times 

http://www.nytimes.com/2015/12/02/arts/music/luc-bondy-swiss-born-theater-and-opera-director-dies-at-67.html
671934868406669312	UCWNews	luc bondy , swiss-born theater and opera director , dies at 67 
671927416533598208	ukworldnews	ny times : luc bondy , swiss-born and director , dies at 67 

http://www.nytimes.com/2015/12/02/world/europe/scholars-unveil-new-edition-of-hitlers-mein-kampf.html
672028865255051265	KenSmith	surrounding the poisonous words of hitler with context and rebuttal on the very pages of a new mein kampf edition . 
672010851281453056	ThorsProvoni	does new edition address similarities of nazi & zionist thought or hitler's intellectual debt to nordau ? 
672005924781883392	MassimoFaggioli	scholars unveil new edition of hitler’s ‘ mein kampf ’ ( the copyright on hitler’s manifesto expires dec . 31 ) 
671985194677743616	EwRmadrid	top story : retweets scholars unveil new edition of hitler’s… see more 
671953573836660736	BdetteMurphy	germany unveils new edition of hitler’s ‘ mein kampff ' . the intention is to set the work in historical context . 
671937693375266816	VijayIngam	books can have both a positive and negative inpact on history : scholars unveil new edition of hitler’s ‘ mein kampf ’ 
671894348452073473	erhochman	mein kampf will soon be available in germany for the first time since 1945 , but with historians ' annotations 
671881040772751360	marciahofmann	" mein kampf " copyright expires this month , allowing historians to publish first new edition since the end of wwii 
671863462079909889	davidsvecsey	fascinating . but it'll still be weird to walk into a bookstore and say , do you have the new ' mein kampf' ?! 
671826205499199490	dgbz_piccolo	scholars unveil new edition of hitler’s ‘ mein kampf ’ as the book’s copyright exp 
671850610879107073	German_History	richly annotated edition of hitler’s mein kampf due out in january , print run 4000 , who's interested ? 
671848748306313220	CLM_net	scholars unveil new edition of hitler’s ‘ mein kampf ’ : as the book’s copyright expires , a … 
671845902588383237	shilkytouch	scholars unveil new edition of hitler’s ‘ mein kampf ’ << just what the world needed in 2015 
671833930392166400	KingLawOnline	copyrights in the news ... 
671832130222092288	diegomunozcol	scholars unveil new edition of hitler’s ‘ mein kampf ’ : as the book’s copyright expires , a te ... vía 
671832058130337792	alenaatming	when love to come . scholars unveil new edition of hitler’s ‘ mein kampf ’ : as the book’s ... 
671820871766511616	Ompohuit	" scholars unveil new edition of hitler’s ‘ mein kampf ’" by alison smale via nyt the new york times 
671823588081729537	newscreator_ch	" scholars unveil new edition of hitler’s ‘ mein kampf ’" by alison smale nyt december 2 , 2015 at 06:00 am 
671821891930296321	technorookies	" scholars unveil new edition of hitler’s ‘ mein kampf ’" by alison smale via nyt the new … 

http://www.nytimes.com/2015/12/02/arts/design/life-in-a-japanese-american-internment-camp-via-the-diary-of-a-young-man.html
671747174925926400	RssLiquor	life in a japanese-american internment camp , via the diary of a young man 
672020935168405504	WilliamCarlson1	life in a japanese-american internment camp , via the diary of a young man just what republican predential's want . 
671798612053983232	elizabeth_joh	" today was supposed to be my graduation day at internment camp diary & online : 
671854591751938051	taoleighgoffe	out of the desert ! congrats courtney & corey . life in a japanese-american internment camp , via diary of a young man 
671821791447285760	ZaneGPorter	it's amazing what " civilized " american citizens can do to other citizens when fear is involved ... 
671808033899417600	LunaImaging	life in a japanese-american internment camp via a young man's diary , on view at yale's sterling memorial library 
671807005774901248	RamonaMacLeod	there is grace in forgiveness . are you this forgiving ? 
671773145364168704	asiafile	digital gallery for yale sterling memorial library's current exhibit on japanese american internment is a must see 
671785861042728960	AARPAAPI	yale exhibit of wwii incarceration includes personal diary of daily life . 
671773558293397504	yalelibrary	" i was shocked beyond belief , ” mr. satoda said of learning that the diary — which he had not seen or thought ... 
671747171855675392	LocalReviewNYC	a fastidious and somewhat irreverent diary kept by yonekazu satoda , now in his 90s , is part of th ... via 

http://www.nytimes.com/
672027779827896320	talan	isis promise of statehood falling far short , ex-residents say - 
672031387617263616	_sheo__	rt breaking news : mark zuckerberg has pledged to give to charity 99 percent of his facebook shares 
672031362610626560	sddphoto	for robert dear , religion and rage before planned parenthood attack - 
672031293249445889	babe471119	new york today : a sidewalk forest - 
672030913623126016	SanjeevJoshipur	anyone but ted cruz - 
671973711650512897	gravitas28	paris climate talks : getting down to business on day 3 - 
672029777423921153	michaelbickle	rt cover-up in chicago - 
672029599971307520	talan	wary of donald trump , g.o.p. leaders are caught in a standoff - 
672029357666344966	TJCenterOrg	letters to the editor about student activism and free speech at amherst - 
672029276552597504	ArbiterLa	has turkey lost its luster for luxury brands ? - 
672029171107893248	MassoudMaalouf	mark zuckerberg vows to donate 99% of his facebook shares ($45 millions ) for charity - 
672029085120356353	ArbiterLa	cavalli investment seems to show private equity still interested in fashion - 
672028644706017280	xvillalba1	a conversation with black women on race 
672026550066376704	sarahmonteverdi	how mark zuckerberg’s example helps fight stigma of family leave 
672020133884375040	OzzFan1069	wary of g.o.p. leaders are caught in a standoff - - 
672021010229645312	jporter	the good old days of the gold standard ? not really , historians say - - 
672020977199554560	freerider68	hi ha gent amb molta sort . modesto man wins $10m lottery minutes after winning $1k - 
672020147339722753	CcavanaughChris	students protests may play role in scotus case on race in admissions - unit 3/jaz-olivia 
671958367615758336	jaywink	zuckerberg vows to daughter he’ll donate 99% of his facebook shares - 
672019445573922816	CulverMd	mark zuckerberg and wife pledge 99% of their facebook shares to charity - 
672019156653314048	Krissie_Marie	students ’ protests may play role in supreme court case on race in admissions - 
672014538515050496	U2uruguay	u2 , preaching defiance , heads back to paris | 
672018255456768000	erniesfo	the marshall islands are disappearing called climate change . 
672016569376075776	aczernis	comedian jim gaffigan on how to with five kids - 
672015453049520128	lanzlf	emirates secretly sends colombian mercenaries to yemen fight - 
672015152443592704	luke_holman57	paris talks : getting down to business on day 3 - 
672014389059452928	1001ptUS	new jersey muslims feel sense of betrayal by christie ( 
672013694973308928	docturbop	indonesia cites resetting of circuit breaker in 2014 airasia crash - 
672013634898382848	1001ptUS	your wednesday briefing ( 
672012412237783040	Larrybeach	u.s. still in danger of losing war on aids , c.d.c. director says 
672012179302948864	gligor1	ex-president of argentina is sentenced in embezzlement case - 
672011446545489920	gligor1	maurice strong , environmental champion , dies at 86 - 
672009475792900096	Dreamstyleking	getting ugly produce onto tables so it stays out of trash - 
672007467627335681	chrismmacneil	dec . 2 , 2015 - - obituary : environmental champion maurice strong dies at 86 
672007038818496512	chrismmacneil	dec . 2 , 2015 - - obituary : luc bondy , swiss-born theater and opera director , dies at 67 
672006471266271233	chrismmacneil	dec . 2 , 2015 - - cdc director warns u.s. still risks losing war on aids 
672006282719703040	DrMorisano	new theory on and the dinosaurs , ’ by lisa randall - 
672005918565994496	chrismmacneil	dec . 2 , 2015 - - chicago mayor fires police superintendent after civil outrage 
672005241856897024	mikeyzx	in tokyo , following elders to bargains - - 
672003827336376321	probesz	addicted to distraction - how to avoid to be distracted , 
672003785884061696	mainegreenbrokr	shame on republicans : votes in congress move to undercut climate pledge - 
671999289904799744	1001ptUS	building blocks : a majestic landmark , overlooked on wall street ( 
671997610950074368	faraox	spain’s prized ibérico hams can’t cure fast enough for china - 
671991152023724034	taiping2	jeb bush’s strange new ad - another 
671988900617957376	lisduarte	rt putin changing tune on climate ? chasing a climate deal in paris 
671987699557920768	AzadehArdakani	what climate change looks like : dying pine forests - 
671987192277921792	nataliaggg	rt western intelligence agencies fear libya may be a fallback option for isis . … 
671986506626703361	FrankFjprincipe	bipartisan talks yield $300 billion highway bill - 
671985046115381248	DonKAnton	dark clouds over the internet - 
671979438117167104	aufklaerer108	rt why i miss george w . bush - great piece by my friend and former colleague https : … 
671978691887370240	Nick_Zen	a car dealers won’t sell : it’s electric - 
671976128639143936	gravitas28	imagining a world without growth - 
671974660053962753	photojourn	lens blog , romania’s dancing , drinking bears 
671965246999756800	Cubasss	bernie sanders , your cool socialist grandpa - 
671965217186779136	ux_tim	addicted to distraction - we're all digital junkies ... 
671963754209411072	happeehil	wise advice addicted to distraction - 
671962308038496256	acbcoaching	fecal transplants made ( somewhat ) more palatable - 
671960012986519552	tarohammond	bored to tears by a do-nothing dream job - 
671958160727539712	itsmepanda1	2007 : the rush to vaccinate 

http://www.nytimes.com/2015/12/01/nyregion/guilty-verdict-is-a-spur-to-would-be-reformers-of-albanys-political-culture.html
671519471475920897	FreeRiderFamily	guilty verdict is a spur to would-be reformers of albany’s political culture 
671543954882568193	SocialInNewYork	guilty verdict is a spur to would-be reformers of albany's political culture 
671753969526571008	digitallywired	according to one lawyer , their client is innocent as " that is the system new york has chosen . " this speaks ... 
671731744169730048	JohnSurico	rt at the very least , advocates predicted , the silver verdict could have a chilling effect on albany legislators : … 
671730219858976768	RealMattKane	. wants to talk reform after shutting down moreland ? that's richer than the people's pockets he lives in 
671714888507596800	SiddiqueSeema	guilty verdict is a spur to would-be reformers of albany & political culture 
671713614953357313	LandgrenKarin	ny state assembly exspeaker convicted on all counts - time to change the " fetid atmosphere " 
671708490692485121	jamestomk	reformers in albany may be spurred by silver verdict , via 
671679361356046336	chrismccreight	“ the bell could not be ringing louder for real reform in albany than it is right now ” 
671695783268212736	officialAJGray	making it harder to prove white-collar crimes 
671695477788774401	ViralVideoTube	rt imwhitneyblack : guilty verdict is a spur to would-be ... | … 
671679220712660992	asmith83	preach , 
671679288014471168	ppolitics	" but on monday , as mr. silver’s name was scrubbed from the assembly website & removed from his office door ... " nyt : 
671679179956465665	chrismccreight	“ money seems to be the root of all of the evil in politics ” 
671678599389319168	Jim_Diamond	will silver conviction be the scandal to finally end albany corruption ? 
671672626838765568	sethpalmer3	albany reform may not be entirely out of reach , thanks to silver verdict 
671664504636383234	rajesh_v	lol . sure government-watchdogs optimistic silver conviction will lead to closing campaign funding loophole 
671657147906859008	gianpadano	like skimming one floating turd off the surface of the albany mafia cesspool >> albany’s political culture 
671627956335194113	SimplyNewsApp	guilty is a spur to would-be of political culture 
671541048615784449	dfnyc	if we can't push through real ethics reform in albany now , it will never happen . this is a call to action ! 
671530964879810560	jmouryl	guilty verdict is a spur to would-be reformers of albany’s political … 
671520729758760961	myth61589545	guilty verdict is a spur to would-be reformers of albany’s… 

http://www.nytimes.com/2015/12/01/style/meet-tumblrs-15-year-old-secret-keeper.html
671551513299460096	PinkGranite	meet tumblr’s 15-year-old secret keeper 
672009132401172480	BeatrizHoya	" the heartbreak doesn't really need a headline to sell itself " via 
671929852883156993	meerkatdoctor	it annoys me how terrible people are at ending relationships . requires thought , care and compassion . 
671872194754928640	laugranza	technology , tumblr , a 15-year old with an agent 
671827122315489280	elise_megann	cool to learn about the face behind " the last message received " . i've seen the posts before on tumblr . 
671851766388940800	MissHezah	a 15 year old is getting the next tumblr to book deal and i'm over here trying to make it to the grocery store . 
671776816588308480	aimeerawlins	meet tumblr's 15-year-old secret keeper . cute story , but good god those messages are heartbreaking . 
671746753557831680	cspelhaug	rt meet the 15-year-old behind the dear my blank she has collected 17,000 letters that people will never send https : … 
671728373291438082	GregoryNYC	the internet is full of secrets , and 15 yr old emily collects them 
671731535612133380	mccassaro	rt the internet is full of secrets , and 15 yr old emily collects them 
671724046032220160	palafo	fb users complained this story is too buzzfeedy . parents also ask why their tumblr-hooked kids don't have book deals 
671674609134084096	FredmFrancois	meet 15-year-old secret keeper 
671610299326193664	NewYorkNews365	meet tumblr's 15-year-old secret keeper - new york times 
671541589362270208	gettingsome	the teenage girl who keeps all of the internet's secrets : 
671539946637758469	storybench	rt up to 100 people a day are sharing sad messages with a teenager in ohio . 

http://www.nytimes.com/2015/12/02/nyregion/new-york-today-a-sidewalk-forest.html
		new york today : a sidewalk forest 
672027420875079680	NYNewsAlert	new york today : a sidewalk forest - new york times 
		wednesday : christmas tree vendors , rainy weather , and wild things . 

http://www.nytimes.com/2015/12/06/books/review/notable-childrens-books-of-2015.html
671789506152927232	TaraWTeach	notable children’s books of 2015 
672012265185517568	lindsaymattick	honoured to see on the list of notable children's books for 2015 ! 
671808962216525824	PequotLibrary	notable of 2015 
671796943534858241	kcollinsauthor	notable children's books of 2015 
671866082668449793	JaneJfried	rt the notable children's books of 2015 
671847255901675521	AFLbonniesinger	rt we are always up for a good ( followed by a trip to the or 
671836336249159681	livrepublicite	rt the hired girl & symphony for the city of the dead are 2015 notable ya books ! https : … 
671829964174532608	SoniaMManzano	i'm thrilled ! what an honor to be in such company ! thank you 
671820519398891520	jackson_nh_pl	we only have one of the picture books , but we do much better in the middle grade and young adult categories .... 
671818500143366144	arcadiapl	which of these books were a hit with your kids ? 
671811257742266368	penguinkids	& have been named notable books of 2015 by 
671808545046863872	TheIvyBookshop	we're thrilled ( and not at all surprised ) to see the hired girl on this list . congratulations to local author and ... 
671808044125331457	CLRC	gifts for your favorite young person 
671805996705026048	MPMN1	the notable children's books of 2015 : via 
671798631956144128	Artemis_J_Jones	rt notable children's books of 2015 
671784723010551808	HUnderdown	the ny times selects notable children's and ya books of 2015 : ... 

http://www.nytimes.com/2015/12/01/sports/basketball/kobe-bryant-los-angeles-lakers-retire.html
671914609809489921	Orangemoonwerks	playing his entire nba career for the los angeles lakers , gave much to the game : 
671645163492663296	GRCasino	can most easily be described by one word : volume 
671809156303757316	Pinnaclesportn2	in most areas , good or bad , kobe bryant has simply done more 
671669319101755392	Sweet_Nicouze	in most areas , good or bad , has simply done more 

http://www.nytimes.com/2015/12/02/business/dealbook/yahoos-board-is-said-to-weigh-selling-off-core-business.html
671934532522606592	TheEricaShelly	yahoo’s board is said to weigh selling off core business 
672026493640310784	DCisFun	yahoo's board is said to weigh selling off core business 
672020477804679168	toddmboucher	yahoo’s board is said to weigh selling off core internet business 
671999115874672640	DanielMHoltz	logical buyers would obviously include 
671955126110687232	simonmundy	" i just try to ship products that i'm not ashamed of " - yahoo executive 
671952092425228288	jedsthirdterm	and we think the government should be in the business of selling them , like the post office . 
671943289776570368	Monojussi	my name is ozymandias , king of kings : look on my works , ye mighty , and despair ... 
671941830221692928	RichardDavid_1	yahoo's board is said to weigh selling off core - new york times 
671937561124728832	goplay	maybe they should merge with myspace .... 

http://cooking.nytimes.com/recipes/1017170-cauliflower-parmesan
671468664382758912	jasonjheim	cauliflower parmesan 

http://www.nytimes.com/2015/12/02/arts/television/jerry-seinfeld-gets-a-regular-gig-at-the-beacon-theater.html
671973847588032512	ArtsAlertz	jerry seinfeld gets a regular gig at the 
671905245870583812	FacilitiesMedia	comedian gets monthly gig at joins with recurring show . 
671903436317814784	fmackinnonfilms	what strikes me most is that he's 61 ! still funny as hell . -jerry seinfeld gets regular gig at beacon theater 
671885046995951620	what5g00d	i was just as as i was about the & extra tix ? 
671882695765581824	impronunciable	amen 
671864570223325184	robert_f_g	seinfeld gets regular gig at the beacon theater about time he got regular work 
671844774094204928	julieschuler	must . get . tickets . 
671822420240650240	gretlerc	jerry gets a regular gig at the theater via 
671810676478894080	TeeVeeChick	cool . via jerry gets a regular gig at the beacon theater 
672015375282929664	nytimes	jerry seinfeld gets a regular gig at a new york theater 
		the comedian will perform roughly once a month , starting on jan . 7 , for at least six shows , the madison square garden company announced on tuesday . 

http://www.nytimes.com/2015/11/30/movies/oscar-race-begins-without-front-runners-for-a-change.html
671409077369643008	SunBizGriffin	race begins , without front-runners for a change 
671647979808251905	margauxmonet	oscar race begins — without front-runners for a change - 
671443073654767616	SteveKaplanpa	leonardo dicaprio has a strong chance for best actor , but for best picture , all bets are off . 
671399355027427328	quaternitybooks	attention , film buffs ! 

http://www.nytimes.com/2015/12/04/fashion/mens-style/the-post-split-hairstyle.html
671492475450580992	abeautyfeature	the post-split hairstyle 
671737052791218177	TheSocialCTV	have you ever changed your appearance after a break-up ? joe jonas ' ultimate post-split move : 
671546213506781184	MattMyers1964	rt the post-split hairstyle 
671672093134733313	WillRoseliep	the times is on it : male celebs " swap the whiskey bottle for a bottle of hair dye after a fizzled romance . " 
671508356918448129	PointHealth	mirror : the post-split hairstyle 
671569451054141440	NYTFashion	heartbroken men are changing up their hair styles . you heard it here first . 
671572430939414528	enzhair	rt nytfashion heartbroken men are changing up their hair styles . you heard it here first . 
671544064278470656	LinKirshman	rt mirror : the post-split hairstyle 
671495191119941633	vrai777	✍ the post-split hairstyle 
671494825930268672	EstArtifacts	the post-split hairstyle - ( he has since dyed his entire mane . ) while making a drastic change in appearance aft ... 
671470504100757504	Superfood_Vegan	some men are changing their hair after fizzled romances . 

http://www.nytimes.com/2015/12/02/us/politics/justices-to-rule-once-again-on-race-in-college-admissions.html
671838591153283072	bentzminger	students ’ protests may play role in supreme court case on race in admissions 
672021478922182656	joon0u	that's why i didn't get into yale ..... 
672019438955315200	WilliamCarlson1	protests may play role , supreme court , case on race in admissions tell the supreme court to mind their own business 
672016703824490496	CSUDHLaw	“ justice kennedy does have the ability to influence whether the conditions are there for the debate even to ... 
672006714883993600	boogiefinger	justices to rule once again on race in college admissions 
672006230320291840	PINOROMBI	the protests in the university of texas where a white woman was denied entrance 
671946197486047232	sarahjeong	protests are also ongoing at harvard , where six of the nine went to law school . 
671940879607685120	anemily14	hey white ppl , if your kid is mediocre as bread , don't tell them they can get into lookin at you , fisher . 
671939430895083520	VijayIngam	campus protests may lead the supreme court to allow racial discrimination & in admissions 
671931062222757888	aks2013	students protests may play role in supreme court case on race in admissions 
671879880556998656	PerryC_	what are your thoughts on this one ? 
671877933078736896	JayathiMurthy	interesting piece on recent campus protests & upcoming fisher v . tx arguments . 
671876960251809792	DailyABCs	students ’ protests may play role in supreme court case … 
671836956897095680	JeisBonGeek	students ’ protests may play role in supreme court case on … 

http://www.nytimes.com/2015/12/02/nyregion/new-yorks-tactical-shift-on-terror-attacks-dont-wait-for-backup.html
672027310325936128	JoeCitizenNYC	on mass shootings : " if people are dying , you have to go in , " said dep . comm . john miller . " the nypd will do so . 
671739417414008832	GWattendorf	to end mass shootings , police face greater danger 
671896718552801280	michikokakutani	" a shift in tactics as law enforcement agencies rethink how to stop terrorist attacks already underway " fm 
671930635385225216	ShannonStevens	mixed messages for cops highlights tough job : nytimes : host of challenges as officers rush to end mass shootings 
671771909030338560	EddieStrangeII	rushing to end mass shootings , police confront greater danger ... 
671867740429246464	seunghyun_yi	i wonder intensive training for police would really be effective in terrorist attack . rushing to end mass shootings , 
671845036296822784	harlemedic	. nypd training 4 new terror scenes " .. used to draw in police officers and emerg . medical workers .. : 
671844749670789120	SCLSecurity	new york's tactical shift on terror attacks : don't wait for backup - 
671806845967712256	Code3tweets	rushing to end mass shootings , face greater danger 
671775406186348544	elizabeth_joh	training to act decisively in mass shootings & de-escalating in ordinary standoffs are huge policing challenges . 
671772523780923392	julieturkewitz	a sense that police are not supposed to act like the military " has just , all of a sudden , evaporated . ” great story . 
